model,method,k,ACC,Error
RF,wv_rf,25,0.9572815533980582,0.042718446601941795
RF,wv_rf,25,0.958252427184466,0.041747572815533984
RF,wv_rf,25,0.9567961165048544,0.04320388349514559
RF,wv_rf,25,0.9490291262135923,0.050970873786407744
RF,wv_rf,25,0.9553181155900923,0.044681884409907724
RF,wv_rf,50,0.9606796116504854,0.03932038834951457
RF,wv_rf,50,0.9587378640776699,0.04126213592233008
RF,wv_rf,50,0.958252427184466,0.041747572815533984
RF,wv_rf,50,0.9538834951456311,0.04611650485436891
RF,wv_rf,50,0.953861097620204,0.04613890237979601
RF,wv_rf,100,0.9655339805825243,0.034466019417475735
RF,wv_rf,100,0.9660194174757282,0.03398058252427183
RF,wv_rf,100,0.9635922330097088,0.036407766990291246
RF,wv_rf,100,0.9635922330097088,0.036407766990291246
RF,wv_rf,100,0.9621175327829043,0.03788246721709565
RF,xgb_shap,1,0.4645631067961165,0.5354368932038835
RF,xgb_shap,1,0.4223300970873786,0.5776699029126213
RF,xgb_shap,1,0.4577669902912621,0.5422330097087379
RF,xgb_shap,1,0.44805825242718444,0.5519417475728156
RF,xgb_shap,1,0.44584749878581836,0.5541525012141817
RF,xgb_shap,2,0.6713592233009709,0.32864077669902914
RF,xgb_shap,2,0.654368932038835,0.34563106796116505
RF,xgb_shap,2,0.6713592233009709,0.32864077669902914
RF,xgb_shap,2,0.6451456310679612,0.3548543689320388
RF,xgb_shap,2,0.6532297231665857,0.3467702768334143
RF,xgb_shap,3,0.8126213592233009,0.18737864077669908
RF,xgb_shap,3,0.8009708737864077,0.19902912621359226
RF,xgb_shap,3,0.7975728155339806,0.20242718446601937
RF,xgb_shap,3,0.8058252427184466,0.19417475728155342
RF,xgb_shap,3,0.8120446818844099,0.18795531811559008
RF,xgb_shap,4,0.9131067961165048,0.0868932038834952
RF,xgb_shap,4,0.908252427184466,0.09174757281553403
RF,xgb_shap,4,0.9116504854368932,0.0883495145631068
RF,xgb_shap,4,0.903883495145631,0.09611650485436896
RF,xgb_shap,4,0.9043224866440019,0.09567751335599806
RF,xgb_shap,5,0.9325242718446602,0.06747572815533975
RF,xgb_shap,5,0.933495145631068,0.06650485436893205
RF,xgb_shap,5,0.929126213592233,0.07087378640776698
RF,xgb_shap,5,0.925242718446602,0.074757281553398
RF,xgb_shap,5,0.9388052452646916,0.06119475473530844
RF,xgb_shap,10,0.9485436893203884,0.05145631067961165
RF,xgb_shap,10,0.9514563106796117,0.04854368932038833
RF,xgb_shap,10,0.945631067961165,0.05436893203883497
RF,xgb_shap,10,0.9495145631067962,0.05048543689320384
RF,xgb_shap,10,0.9446333171442448,0.05536668285575519
RF,xgb_shap,15,0.9597087378640776,0.04029126213592238
RF,xgb_shap,15,0.9626213592233009,0.03737864077669906
RF,xgb_shap,15,0.9563106796116505,0.043689320388349495
RF,xgb_shap,15,0.9587378640776699,0.04126213592233008
RF,xgb_shap,15,0.9596891694997571,0.04031083050024287
RF,xgb_shap,20,0.9660194174757282,0.03398058252427183
RF,xgb_shap,20,0.9684466019417476,0.03155339805825241
RF,xgb_shap,20,0.9689320388349515,0.031067961165048508
RF,xgb_shap,20,0.9650485436893204,0.03495145631067964
RF,xgb_shap,20,0.9621175327829043,0.03788246721709565
RF,xgb_shap,25,0.9728155339805825,0.027184466019417486
RF,xgb_shap,25,0.9771844660194174,0.02281553398058256
RF,xgb_shap,25,0.9728155339805825,0.027184466019417486
RF,xgb_shap,25,0.9694174757281553,0.030582524271844713
